Bellettini, Giovanni
Bozzo, Enrico 
Brajnik, Giorgio 
Burigat, Stefano 
Buttussi, Fabio 
Chittaro, Luca 
Comini, Marco 
Coppola, Paolo 
D'Agostino, Giovanna
Dattolo, Antonina 
Della Mea, Vincenzo 
Della Monica, Dario 
Di Gianantonio, Pietro 
Dimonte, Vincenzo 
Dovier, Agostino 
Fogolari, Federico 
Fontana, Federico 
Formisano, Andrea 
Fortuna, Sara 
Franceschet, Massimo 
Fusiello, Andrea 
Geatti, Luca 
Lancia, Giuseppe 
Lenisa, Marina 
Liessi, Davide 
Maddalena, Eddy 
Mameli, Valentina 
Micheloni, Christian 
Miculan, Marino 
Mirolo, Claudio 
Mizzaro, Stefano 
Montanari, Angelo 
Pace, Luigi 
Piazza, Carla 
Policriti, Alberto 
Puppis, Gabriele 
Riccio, Vincenzo 
Ritacco, Ettore 
Romani, Giulio 
Scagnetto, Ivan 
Serra, Giuseppe 
Vermiglio, Rossana 
Vidoni, Paolo 
Drioli, Carlo 
Cimatti, Alessandro 
Omero, Paolo 
Roitero, Kevin 
