,Nodi,Degree,Degree Centrality,Betweenness Centrality,Closeness Centrality
0,Roitero Kevin,5,0.14285714285714285,0.0,5.222317101631648
1,Maddalena Eddy,3,0.08571428571428572,0.0,5.041669692506603
2,Mizzaro Stefano,8,0.22857142857142856,0.0773109243697479,5.338799485030512
3,Coppola Paolo,5,0.14285714285714285,0.040336134453781515,4.6680700483343145
4,Della Mea Vincenzo,6,0.17142857142857143,0.05714285714285715,5.06910670020061
5,Serra Giuseppe,7,0.19999999999999998,0.3831932773109244,5.6464015858338295
6,Scagnetto Ivan,8,0.22857142857142856,0.246218487394958,5.123865077455005
7,Fusiello Andrea,2,0.05714285714285714,0.06302521008403361,2.8373985417717167
8,Brajnik Giorgio,3,0.08571428571428572,0.24453781512605044,4.445076595248708
9,Chittaro Luca,6,0.17142857142857143,0.326890756302521,4.7882654460553224
10,Lenisa Marina,3,0.08571428571428572,0.0,4.700405820593385
11,Di Gianantonio Pietro,3,0.08571428571428572,0.0,4.396545991484258
12,Miculan Marino,6,0.17142857142857143,0.21596638655462186,4.6357965602348585
13,Drioli Carlo,1,0.02857142857142857,0.0,3.158622134501783
14,Geatti Luca,5,0.14285714285714285,0.22941176470588237,5.373186619587438
15,Montanari Angelo,10,0.2857142857142857,0.23445378151260507,5.547158846927395
16,Cimatti Alessandro,3,0.08571428571428572,0.0,5.096103660080093
17,Della Monica Dario,3,0.08571428571428572,0.09915966386554623,5.414535495222577
18,Policriti Alberto,6,0.17142857142857143,0.2008403361344538,5.713163651315846
19,Puppis Gabriele,3,0.08571428571428572,0.052100840336134456,5.2497238581750905
20,Dovier Agostino,6,0.17142857142857143,0.046218487394957986,5.452248592693541
21,Franceschet Massimo,3,0.08571428571428572,0.05714285714285715,5.1445009642131385
22,Piazza Carla,6,0.17142857142857143,0.2554621848739496,5.748949302402543
23,D’Agostino Giovanna,2,0.05714285714285714,0.21092436974789916,3.4393968143828713
24,Buttussi Fabio,1,0.02857142857142857,0.0,4.603664154462724
25,Burigat Stefano,1,0.02857142857142857,0.0,4.547876190798967
26,Bozzo Enrico,2,0.05714285714285714,0.018487394957983194,2.365308252328006
27,Fontana Federico,2,0.05714285714285714,0.015126050420168069,2.387308461699343
28,Formisano Andrea,2,0.05714285714285714,0.0,5.330554108863114
29,Fogolari Federico,3,0.08571428571428572,0.05714285714285715,5.4177530095771145
30,Riccio Vincenzo,1,0.02857142857142857,0.0,2.966116011342799
31,Comini Marco,1,0.02857142857142857,0.0,2.966116011342799
32,Micheloni Christian,2,0.05714285714285714,0.11092436974789917,3.5180694731131497
33,Fortuna Sara,1,0.02857142857142857,0.0,2.3395342183119623
34,Omero Paolo,2,0.05714285714285714,0.05714285714285715,1.950008674990081
35,Dattolo Antonina,1,0.02857142857142857,0.0,1.3233195549488845
